name_of_work,content,,,,,,,,,,,,,,
The Rest by Jane Huffman,"Still, I keep myself, I take
to bed. One lung is red. Cut red
flowers hung in pink water.

My other lung is out of  line.
From one lung, I tell the truth.
From the other lung, I lie.
Cut pink flowers hung in red water.

Like a pain, the truth is mine.
The lie is that today I want to die.
Cut red water hung in pink flowers.

The rest of it is stillness, rest.
A soft cough into a hard pan.
A hard cough into a soft plane.
Cut pink water hung in red flowers",,,,,,,,,,,,,,
Sunday by Gillian Clarke,"Getting up early on a Sunday morning
leaving them sleep for the sake of peace,
the lunch pungent, windows open
for a blackbird singing in Cyncoed.
Starlings glistening in the gutter come
for seed. I let the cats in from the night,
their fur already glossed and warm with March.
I bring the milk, newspaper, settle here
in the bay of the window to watch people
walking to church for Mothering Sunday.
A choirboy holds his robes over his shoulder.
The cats jump up on windowsills to wash
and tremble at the starlings. Like peaty water
sun slowly fills the long brown room.
Opening the paper I admit to this
the water-shriek and starved stare
of a warning I can't name.",,,,,,,,,,,,,,
To one who has been long in city pent by John Keats,"To one who has been long in city pent,
'Tis very sweet to look into the fair
And open face of heaven,—to breathe a prayer
Full in the smile of the blue firmament.
Who is more happy, when, with heart's content,
Fatigued he sinks into some pleasant lair
Of wavy grass, and reads a debonair
And gentle tale of love and languishment?
Returning home at evening, with an ear
Catching the notes of Philomel,—an eye
Watching the sailing cloudlet's bright career,
He mourns that day so soon has glided by:
E'en like the passage of an angel's tear
That falls through the clear ether silently.",,,,,,,,,,,,,,
The People of the Other Village by Thomas Lux,"hate the people of this village
and would nail our hats
to our heads for refusing in their presence to remove them
or staple our hands to our foreheads
for refusing to salute them
if we did not hurt them first: mail them packages of rats,
mix their flour at night with broken glass.
We do this, they do that.
They peel the larynx from one of our brothers’ throats.
We devein one of their sisters.
The quicksand pits they built were good.
Our amputation teams were better.
We trained some birds to steal their wheat.
They sent to us exploding ambassadors of peace.
They do this, we do that.
We canceled our sheep imports.
They no longer bought our blankets.
We mocked their greatest poet
and when that had no effect
we parodied the way they dance
which did cause pain, so they, in turn, said our God
was leprous, hairless.
We do this, they do that.
Ten thousand (10,000) years, ten thousand
(10,000) brutal, beautiful years.",,,,,,,,,,,,,,
"Good-Bye, Little Cabin by Robert Service","O dear little cabin, I've loved you so long,
And now I must bid you good-bye!
I've filled you with laughter, I've thrilled you with song,
And sometimes I've wished I could cry.
Your walls they have witnessed a weariful fight,
And rung to a won Waterloo:
But oh, in my triumph I'm dreary to-night --
Good-bye, little cabin, to you!
Your roof is bewhiskered, your floor is a-slant,
Your walls seem to sag and to swing;
I'm trying to find just your faults, but I can't --
You poor, tired, heart-broken old thing!
I've seen when you've been the best friend that I had,
Your light like a gem on the snow;
You're sort of a part of me -- Gee! but I'm sad;
I hate, little cabin, to go.

Below your cracked window red raspberries climb;
A hornet's nest hangs from a beam;
Your rafters are scribbled with adage and rhyme,
And dimmed with tobacco and dream.
""Each day has its laugh"", and ""Don't worry, just work"".
Such mottoes reproachfully shine.
Old calendars dangle -- what memories lurk
About you, dear cabin of mine!

I hear the world-call and the clang of the fight;
I hear the hoarse cry of my kind;
Yet well do I know, as I quit you to-night,
It's Youth that I'm leaving behind.
And often I'll think of you, empty and black,
Moose antlers nailed over your door:
Oh, if I should perish my ghost will come back
To dwell in you, cabin, once more!

How cold, still and lonely, how weary you seem!
A last wistful look and I'll go.
Oh, will you remember the lad with his dream!
The lad that you comforted so.
The shadows enfold you, it's drawing to-night;
The evening star needles the sky:
And huh! but it's stinging and stabbing my sight --
God bless you, old cabin, good-bye!",,,,,,,,,,,,,,
Floral Tribute by Simon Armitage,"Evening will come, however determined the late afternoon,
Limes and oaks in their last green flush, pearled in September mist.
I have conjured a lily to light these hours, a token of thanks,
Zones and auras of soft glare framing the brilliant globes.
A promise made and kept for life - that was your gift -
Because of which, here is a gift in return, glovewort to some,
Each shining bonnet guarded by stern lance-like leaves.
The country loaded its whole self into your slender hands,
Hands that can rest, now, relieved of a century’s weight.
Evening has come. Rain on the black lochs and dark Munros.
Lily of the Valley, a namesake almost, a favourite flower
Interlaced with your famous bouquets, the restrained
Zeal and forceful grace of its lanterns, each inflorescence
A silent bell disguising a singular voice. A blurred new day
Breaks uncrowned on remote peaks and public parks, and
Everything turns on these luminous petals and deep roots,
This lily that thrives between spire and tree, whose brightness
Holds and glows beyond the life and border of its bloom.",,,,,,,,,,,,,,
Reflections on Having Left a Place of Retirement by Samuel Taylor Coleridge,"Low was our pretty Cot: our tallest Rose
Peep’d at the chamber-window. We could hear
At silent noon, and eve, and early morn,
The Sea’s faint murmur. In the open air
Our Myrtles blossom’d; and across the porch
Thick Jasmins twined: the little landscape round
Was green and woody, and refresh’d the eye.
It was a spot which you might aptly call
The Valley of Seclusion! Once I saw
(Hallowing his Sabbath-day by quiteness)
A wealthy son of Commerce saunter by,
Bristowa’s citizen: methought, it calm’d
His thirst of idle gold, and made him muse
With wiser feelings: for he paus’d, and look’d
With a pleas’d sadness, and gaz’d all around,
Then eyed our Cottage, and gaz’d round again,
And sigh’d, and said, it was a Blesséd Place.
And we were bless’d. Oft with patient ear
Long-listening to the viewless sky-lark’s note
(Viewless, or haply for a moment seen
Gleaming on sunny wings) in whisper’d tones
I said to my Belovéd, `Such, sweet Girl!
The inobtrusive song of Happiness,
Unearthly minstrelsy! then only heard
When the Soul seeks to hear ; when all is hush’d,
And the Heart listens!’
 But the time, when first
From that low Dell, steep up the stony Mount
I climb’d with perilous toil and reach’d the top,
Oh! what a goodly scene! Here the bleak mount,
The bare bleak mountain speckled thin with sheep;
Grey clouds, that shadowing spot the sunny fields;
And river, now with bushy rocks o’er-brow’d,
Now winding bright and full, with naked banks;
And seats, and lawns, the Abbey and the wood,
And cots, and hamlets, and faint city-spire;
The Channel there, the Islands and white sails,
Dim coasts, and cloud-like hills, and shoreless Ocean--
It seem’d like Omnipresence! God, methought,
Had build him there a Temple: the whole World
Seem’d imag’d in its vast circumference:
No wish profan’d my overwhelméd heart.
Blest hour! It was a luxury,--to be!
 Ah! quiet Dell! dear Cot, and Mount sublime!
I was constrain’d to quit you. Was it right,
While my unnumber’d brethren toil’d and bled,
That I should dream away the entrusted hours
On rose-leaf beds, pampering the coward heart
With feelings all too delicate for use?
Sweet is the tear that from some Howard’s eye
Drops on the cheek of one he lifts from earth:
And he that works me good with unmov’d face,
Does it but half: he chills me while he aids,
My benefactor, not my brother man!
Yet even this, this cold beneficience
Praise, praise it, O my Soul! oft as thou scann’st
The sluggard Pity’s vision-weaving tribe!
Who sigh for Wretchedness, yet shun the Wretched,
Nursing in some delicious solitude
Their slothful loves and dainty sympathies!
I therefore go, and join head, heart, and hand,
Active and firm, to fight the bloodless fight
Of Science, Freedom, and the Truth in Christ.
 Yet oft when after honourable toil
 Rests the tir’d mind, and waking loves to dream,
 My spirit shall revisit thee, dear Cot!
 Thy Jasmin and thy window-peeping Rose,
 And Myrtles fearless of the mild sea-air.
 And I shall sigh fond wishes--sweet Abode!
 Ah!--had none greater! And that all had such!
 It might be so--but the time is not yet.
 Speed it, O Father! Let thy Kingdom come!",,,,,,,,,,,,,,
Summer Past by John Gray,"There was the summer. There Warm hours of leaf-lipped song, And dripping amber sweat. O sweet to see The great trees condescend to cast a pearl Down to the myrtles; and the proud leaves curl In ecstasy Fruit of a quest, despair. Smart of a sullen wrong. Where may they hide them yet? One hour, yet one, To find the mossgod lurking in his nest, To see the naiads' floating hair, caressed By fragrant sun- Beams. Softly lulled the eves The song-tired birds to sleep, That other things might tell Their secrecies. The beetle humming neath the fallen leaves Deep in what hollow do the stern gods keep Their bitter silence? By what listening well Where holy trees, Song-set, unfurl eternally the sheen Of restless green?",,,,,,,,,,,,,,
Acquainted with the Night by Robert Frost,"I have been one acquainted with the night.
I have walked out in rain—and back in rain.
I have outwalked the furthest city light.

I have looked down the saddest city lane.
I have passed by the watchman on his beat
And dropped my eyes, unwilling to explain.

I have stood still and stopped the sound of feet
When far away an interrupted cry
Came over houses from another street,

But not to call me back or say good-bye;
And further still at an unearthly height,
One luminary clock against the sky

Proclaimed the time was neither wrong nor right. 
I have been one acquainted with the night.",,,,,,,,,,,,,,
A Brave and Startling Truth by Maya Angelou,"We, this people, on a small and lonely planet Traveling through casual space Past aloof stars, across the way of indifferent suns To a destination where all signs tell us It is possible and imperative that we learn A brave and startling truth And when we come to it To the day of peacemaking When we release our fingers From fists of hostility And allow the pure air to cool our palms When we come to it When the curtain falls on the minstrel show of hate And faces sooted with scorn are scrubbed clean When battlefields and coliseum No longer rake our unique and particular sons and daughters Up with the bruised and bloody grass To lie in identical plots in foreign soil When the rapacious storming of the churches The screaming racket in the temples have ceased When the pennants are waving gaily When the banners of the world tremble Stoutly in the good, clean breeze When we come to it When we let the rifles fall from our shoulders And children dress their dolls in flags of truce When land mines of death have been removed And the aged can walk into evenings of peace When religious ritual is not perfumed By the incense of burning flesh And childhood dreams are not kicked awake By nightmares of abuse When we come to it Then we will confess that not the Pyramids With their stones set in mysterious perfection Nor the Gardens of Babylon Hanging as eternal beauty In our collective memory Not the Grand Canyon Kindled into delicious color By Western sunsets Nor the Danube, flowing its blue soul into Europe Not the sacred peak of Mount Fuji Stretching to the Rising Sun Neither Father Amazon nor Mother Mississippi who, without favor, Nurture all creatures in the depths and on the shores These are not the only wonders of the world When we come to it We, this people, on this minuscule and kithless globe Who reach daily for the bomb, the blade and the dagger Yet who petition in the dark for tokens of peace We, this people on this mote of matter In whose mouths abide cankerous words Which challenge our very existence Yet out of those same mouths Come songs of such exquisite sweetness That the heart falters in its labor And the body is quieted into awe We, this people, on this small and drifting planet Whose hands can strike with such abandon That in a twinkling, life is sapped from the living Yet those same hands can touch with such healing, irresistible tenderness That the haughty neck is happy to bow And the proud back is glad to bend Out of such chaos, of such contradiction We learn that we are neither devils nor divines When we come to it We, this people, on this wayward, floating body Created on this earth, of this earth Have the power to fashion for this earth A climate where every man and every woman Can live freely without sanctimonious piety Without crippling fear When we come to it We must confess that we are the possible We are the miraculous, the true wonder of this world That is when, and only when We come to it.",,,,,,,,,,,,,,
Fuzzy-Wuzzy by Rudyard Kipling,"We've fought with many men acrost the seas,
An' some of 'em was brave an' some was not:
The Paythan an' the Zulu an' Burmese;
But the Fuzzy was the finest o' the lot.
We never got a ha'porth's change of 'im:
'E squatted in the scrub an' 'ocked our 'orses,
'E cut our sentries up at Suakim,
An' 'e played the cat an' banjo with our forces.
So 'ere's to you, Fuzzy-Wuzzy, at your 'ome in the Soudan;
You're a pore benighted 'eathen but a first-class fightin' man;
We gives you your certificate, an' if you want it signed
We'll come an' 'ave a romp with you whenever you're inclined.
We took our chanst among the Khyber 'ills,
The Boers knocked us silly at a mile,
The Burman give us Irriwaddy chills,
An' a Zulu impi dished us up in style:
But all we ever got from such as they
Was pop to what the Fuzzy made us swaller;
We 'eld our bloomin' own, the papers say,
But man for man the Fuzzy knocked us 'oller.
Then 'ere's to you, Fuzzy-Wuzzy, an' the missis and the kid;
Our orders was to break you, an' of course we went an' did.
We sloshed you with Martinis, an' it wasn't 'ardly fair;
But for all the odds agin' you, Fuzzy-Wuz, you broke the square.
'E 'asn't got no papers of 'is own,
'E 'asn't got no medals nor rewards,
So we must certify the skill 'e's shown
In usin' of 'is long two-'anded swords:
When 'e's 'oppin' in an' out among the bush
With 'is coffin-'eaded shield an' shovel-spear,
An 'appy day with Fuzzy on the rush
Will last an 'ealthy Tommy for a year.
So 'ere's to you, Fuzzy-Wuzzy, an' your friends which are no more,
If we 'adn't lost some messmates we would 'elp you to deplore.
But give an' take's the gospel, an' we'll call the bargain fair,
For if you 'ave lost more than us, you crumpled up the square!
'E rushes at the smoke when we let drive,
An', before we know, 'e's 'ackin' at our 'ead;
'E's all 'ot sand an' ginger when alive,
An' 'e's generally shammin' when 'e's dead.
'E's a daisy, 'e's a ducky, 'e's a lamb!
'E's a injia-rubber idiot on the spree,
'E's the on'y thing that doesn't give a damn
For a Regiment o' British Infantree!
So 'ere's to you, Fuzzy-Wuzzy, at your 'ome in the Soudan;
You're a pore benighted 'eathen but a first-class fightin' man;
An' 'ere's to you, Fuzzy-Wuzzy, with your 'ayrick 'ead of 'air --
You big black boundin' beggar -- for you broke a British square!",,,,,,,,,,,,,,
A Far Cry from Africa by Derek Walcott,"A wind is ruffling the tawny pelt
Of Africa. Kikuyu, quick as flies,
Batten upon the bloodstreams of the veldt.
Corpses are scattered through a paradise.
Only the worm, colonel of carrion, cries:
""Waste no compassion on these separate dead!""
Statistics justify and scholars seize
The salients of colonial policy.
What is that to the white child hacked in bed?
To savages, expendable as Jews?

Threshed out by beaters, the long rushes break
In a white dust of ibises whose cries
Have wheeled since civilization's dawn
From the parched river or beast-teeming plain.
The violence of beast on beast is read
As natural law, but upright man
Seeks his divinity by inflicting pain.
Delirious as these worried beasts, his wars
Dance to the tightened carcass of a drum,
While he calls courage still that native dread
Of the white peace contracted by the dead.

Again brutish necessity wipes its hands
Upon the napkin of a dirty cause, again
A waste of our compassion, as with Spain,
The gorilla wrestles with the superman.
I who am poisoned with the blood of both,
Where shall I turn, divided to the vein?
I who have cursed
The drunken officer of British rule, how choose
Between this Africa and the English tongue I love?
Betray them both, or give back what they give?
How can I face such slaughter and be cool?
How can I turn from Africa and live?",,,,,,,,,,,,,,
The Arnolfini Marriage by Paul Durcan,"We are the Arnolfinis.
Do not think you may invade
Our privacy because you may not.

 

We are standing to our portrait,
The most erotic portrait ever made,
Because we have faith in the artist

 

To do justice to the plurality,
Fertility, domesticity, barefootedness
Of a man and a woman saying ""we"":

 

To do justice to our bed
As being our most necessary furniture;
To do justice to our life as a reflection.

 

Our brains spill out upon the floor
And the terrier at our feet sniffs
The minutiae of our magnitude.

 

The most relaxing word in our vocabulary is ""we"".
Imagine being able to say ""we"".
Most people are in no position to say ""we"".

 

Are you? Who eat alone? Sleep alone? 
And at dawn cycle to work
With an Alsatian shepherd dog tied to your handlebars?

 

We will pause now for the Angelus.
Here you have it:
The two halves of the coconut.",,,,,,,,,,,,,,
Inexorable Deities by Edgar Lee Masters,"Deities!
Inexorable revealers,
Give me strength to endure
The gifts of the Muses,
Daughters of Memory.
When the sky is blue as Minerva's eyes
Let me stand unshaken;
When the sea sings to the rising sun
Let me be unafraid;
When the meadow lark falls like a meteor
Through the light of afternoon,
An unloosened fountain of rapture,
Keep my heart from spilling
Its vital power;
When at the dawn
The dim souls of crocuses hear the calls
Of waking birds,
Give me to live but master the loveliness.
Keep my eyes unharmed from splendors
Unveiled by you,
And my ears at peace
Filled no less with the music
Of Passion and Pain, growth and change.
But O ye sacred and terrible powers,
Reckless of my mortality,
Strengthen me to behold a face,
To know the spirit of a beloved one
Yet to endure, yet to dare!",,,,,,,,,,,,,,
A Mental Hospital Sitting-Room by Elizabeth Jennings,"Utrillo on the wall. A nun is climbing
Steps in Montmartre. We patients sit below.
It is as if a scream were opened wide,
A mouth demanding everyone to listen.
Too many people cry, too many hide
And stare into themselves. I am afraid.
There are no life-belts here on which to fasten.
The only hope is visitors will come
And talk of other things than our disease …
So much is stagnant and yet nothing dies.",,,,,,,,,,,,,,
White Roses by Gillian Clarke,"utside the green velvet sitting room
white roses bloom after rain.
They hold water and sunlight
like cups of fine white china.

Within the boy who sleeps in my care
in the big chair the cold bloom
opens at terrible speed
and the splinter of ice moves

in his blood as he stirs in the chair.
Remembering me he smiles
politely, gritting his teeth
in silence on pain's red blaze.

A stick man in the ashes, his fires
die back. He is spars and springs.
He can talk again, gather
his cat to his bones. She springs

with a small cry in her throat, kneading
with diamond paws his dry
as tinder flesh. The least spark
of pain will burn him like straw.

The sun carelessly shines after rain.
The cat tracks thrushes in sweet
dark soil. And without concern
the rose outlives the child.",,,,,,,,,,,,,,
The Three Fates by Rosemary Dobson,"At the instant of drowning he invoked the three sisters. 
It was a mistake, an aberration, to cry out for
Life everlasting. 

He came up like a cork and back to the river-bank,
Put on his clothes in reverse order,
Returned to the house. 

He suffered the enormous agonies of passion
Writing poems from the end backwards,
Brushing away tears that had not yet fallen.

Loving her wildly as the day regressed towards morning
He watched her swinging in the garden, growing younger, 
Bare-foot, straw-hatted. 

And when she was gone and the house and the swing and daylight
There was an instant’s pause before it began all over,
The reel unrolling towards the river.",,,,,,,,,,,,,,
Light Breaks Where No Sun Shines by Dylan Thomas,"Light breaks where no sun shines;
Where no sea runs, the waters of the heart
Push in their tides;
And, broken ghosts with glow-worms in their heads,
The things of light
File through the flesh where no flesh decks the bones.

A candle in the thighs
Warms youth and seed and burns the seeds of age;
Where no seed stirs,
The fruit of man unwrinkles in the stars,
Bright as a fig;
Where no wax is, the candle shows its hairs.

Dawn breaks behind the eyes;
From poles of skull and toe the windy blood
Slides like a sea;
Nor fenced, nor staked, the gushers of the sky
Spout to the rod
Divining in a smile the oil of tears.

Night in the sockets rounds,
Like some pitch moon, the limit of the globes;
Day lights the bone;
Where no cold is, the skinning gales unpin
The winter's robes;
The film of spring is hanging from the lids.

Light breaks on secret lots,
On tips of thought where thoughts smell in the rain;
When logics dies,
The secret of the soil grows through the eye,
And blood jumps in the sun;
Above the waste allotments the dawn halts.",,,,,,,,,,,,,,
No Coward Soul Is Mine by Emily Brontë,"No coward soul is mine
No trembler in the world's storm-troubled sphere
I see Heaven's glories shine
And Faith shines equal arming me from Fear

O God within my breast
Almighty ever-present Deity
Life, that in me hast rest,
As I Undying Life, have power in Thee

Vain are the thousand creeds
That move men's hearts, unutterably vain,
Worthless as withered weeds
Or idlest froth amid the boundless main

To waken doubt in one
Holding so fast by thy infinity,
So surely anchored on
The steadfast rock of Immortality.

With wide-embracing love
Thy spirit animates eternal years
Pervades and broods above,
Changes, sustains, dissolves, creates and rears

Though earth and moon were gone
And suns and universes ceased to be
And Thou wert left alone
Every Existence would exist in thee

There is not room for Death
Nor atom that his might could render void
Since thou art Being and Breath
And what thou art may never be destroyed.",,,,,,,,,,,,,,
Climbing My Grandfather by Andrew Waterhouse,"I decide to do it free, without a rope or net.
First, the old brogues, dusty and cracked;
an easy scramble onto his trousers,
pushing into the weave, trying to get a grip.
By the overhanging shirt I change
direction, traverse along his belt
to an earth-stained hand. The nails
are splintered and give good purchase,
the skin of his finger is smooth and thick
like warm ice. On his arm I discover
the glassy ridge of a scar, place my feet
gently in the old stitches and move on.
At his still firm shoulder, I rest for a while
in the shade, not looking down,
for climbing has its dangers, then pull
myself up the loose skin of his neck
to a smiling mouth to drink among teeth.
Refreshed, I cross the screed cheek,
to stare into his brown eyes, watch a pupil
slowly open and close. Then up over
the forehead, the wrinkles well-spaced
and easy, to his thick hair (soft and white
at this altitude), reaching for the summit,
where gasping for breath I can only lie
watching clouds and birds circle,
feeling his heat, knowing
the slow pulse of his good heart.",,,,,,,,,,,,,,
The Thrush by Edward Thomas,"When Winter’s ahead,
What can you read in November
That you read in April
When Winter’s dead?

I hear the thrush, and I see
Him alone at the end of the lane
Near the bare poplar’s tip,
Singing continuously.

Is it more that you know
Than that, even as in April,
So in November,
Winter is gone that must go?


Or is all your lore
Not to call November November,
And April April,
And Winter Winter – no more?

But I know the months all,
And their sweet names, April,
May and June and October,
As you call and call

I must remember
What died into April
And consider what will be born
Of a fair November;

And April I love for what
It was born of, and November
For what it will die in,
What they are and what they are not,

While you love what is kind,
What you can sing in
And love and forget in
All that’s ahead and behind.",,,,,,,,,,,,,,
After by Philip Bourke Marston,"A little time for laughter,
A little time to sing,
A little time to kiss and cling,
And no more kissing after.

A little while for scheming
Love's unperfected schemes;
A little time for golden dreams,
Then no more any dreaming.

A little while 'twas given
To me to have thy love;
Now, like a ghost, alone I move
About a ruined heaven.

A little time for speaking
Things sweet to say and hear;
A time to seek, and find thee near,
Then no more any seeking.

A little time for saying
Words the heart breaks to say;
A short sharp time wherein to pray,
Then no more need of praying;

But long, long years to weep in,
And comprehend the whole
Great grief that desolates the soul,
And eternity to sleep in.",,,,,,,,,,,,,,
Bell Birds by Henry Kendall,"By channels of coolness the echoes are calling,
And down the dim gorges I hear the creek falling;
It lives in the mountain, where moss and the sedges
Touch with their beauty the banks and the ledges;
Through brakes of the cedar and sycamore bowers
Struggles the light that is love to the flowers.
And, softer than slumber, and sweeter than singing,
The notes of the bell-birds are running and ringing.
The silver-voiced bell-birds, the darlings of day-time,
They sing in September their songs of the May-time.
When shadows wax strong and the thunder-bolts hurtle,
They hide with their fear in the leaves of the myrtle;
When rain and the sunbeams shine mingled together
They start up like fairies that follow fair weather,
And straightway the hues of their feathers unfolden
Are the green and the purple, the blue and the golden.
October, the maiden of bright yellow tresses,
Loiters for love in these cool wildernesses;
Loiters knee-deep in the grasses to listen,
Where dripping rocks gleam and the leafy pools glisten.
Then is the time when the water-moons splendid
Break with their gold, and are scattered or blended
Over the creeks, till the woodlands have warning
Of songs of the bell-bird and wings of the morning.
Welcome as waters unkissed by the summers
Are the voices of bell-birds to thirsty far-comers.
When fiery December sets foot in the forest,
And the need of the wayfarer presses the sorest,
Pent in the ridges for ever and ever.
The bell-birds direct him to spring and to river,
With ring and with ripple, like runnels whose torrents
Are toned by the pebbles and leaves in the currents.
Often I sit, looking back to a childhood
Mixt with the sights and the sounds of the wildwood,
Longing for power and the sweetness to fashion
Lyrics with beats like the heart-beats of passion --
Songs interwoven of lights and of laughters
Borrowed from bell-birds in far forest rafters;
So I might keep in the city and alleys
The beauty and strength of the deep mountain valleys,
Charming to slumber the pain of my losses
With glimpses of creeks and a vision of mosses.",,,,,,,,,,,,,,
Burnt Norton by T.S. Eliot,"Time present and time past
Are both perhaps present in time future,
And time future contained in time past.
If all time is eternally present
All time is unredeemable.
What might have been is an abstraction
Remaining a perpetual possibility
Only in a world of speculation.
What might have been and what has been
Point to one end, which is always present.
Footfalls echo in the memory
Down the passage which we did not take
Towards the door we never opened
Into the rose-garden. My words echo
Thus, in your mind.
But to what purpose
Disturbing the dust on a bowl of rose-leaves
I do not know.
Other echoes
Inhabit the garden. Shall we follow?
Quick, said the bird, find them, find them,
Round the corner. Through the first gate,
Into our first world, shall we follow
The deception of the thrush? Into our first world.
There they were, dignified, invisible,
Moving without pressure, over the dead leaves,
In the autumn heat, through the vibrant air,
And the bird called, in response to
The unheard music hidden in the shrubbery,
And the unseen eyebeam crossed, for the roses
Had the look of flowers that are looked at.
There they were as our guests, accepted and accepting.
So we moved, and they, in a formal pattern,
Along the empty alley, into the box circle,
To look down into the drained pool.
Dry the pool, dry concrete, brown edged,
And the pool was filled with water out of sunlight,
And the lotos rose, quietly, quietly,
The surface glittered out of heart of light,
And they were behind us, reflected in the pool.
Then a cloud passed, and the pool was empty.
Go, said the bird, for the leaves were full of children,
Hidden excitedly, containing laughter.
Go, go, go, said the bird: human kind
Cannot bear very much reality.
Time past and time future
What might have been and what has been
Point to one end, which is always present.
II
Garlic and sapphires in the mud
Clot the bedded axle-tree.
The trilling wire in the blood
Sings below inveterate scars
Appeasing long forgotten wars.
The dance along the artery
The circulation of the lymph
Are figured in the drift of stars
Ascend to summer in the tree
We move above the moving tree
In light upon the figured leaf
And hear upon the sodden floor
Below, the boarhound and the boar
Pursue their pattern as before
But reconciled among the stars.
At the still point of the turning world. Neither flesh nor fleshless;
Neither from nor towards; at the still point, there the dance is,
But neither arrest nor movement. And do not call it fixity,
Where past and future are gathered. Neither movement from nor towards,
Neither ascent nor decline. Except for the point, the still point,
There would be no dance, and there is only the dance.
I can only say, there we have been: but I cannot say where.
And I cannot say, how long, for that is to place it in time.
The inner freedom from the practical desire,
The release from action and suffering, release from the inner
And the outer compulsion, yet surrounded
By a grace of sense, a white light still and moving,
Erhebung without motion, concentration
Without elimination, both a new world
And the old made explicit, understood
In the completion of its partial ecstasy,
The resolution of its partial horror.
Yet the enchainment of past and future
Woven in the weakness of the changing body,
Protects mankind from heaven and damnation
Which flesh cannot endure.
Time past and time future
Allow but a little consciousness.
To be conscious is not to be in time
But only in time can the moment in the rose-garden,
The moment in the arbour where the rain beat,
The moment in the draughty church at smokefall
Be remembered; involved with past and future.
Only through time time is conquered.
III
Here is a place of disaffection
Time before and time after
In a dim light: neither daylight
Investing form with lucid stillness
Turning shadow into transient beauty
With slow rotation suggesting permanence
Nor darkness to purify the soul
Emptying the sensual with deprivation
Cleansing affection from the temporal.
Neither plenitude nor vacancy. Only a flicker
Over the strained time-ridden faces
Distracted from distraction by distraction
Filled with fancies and empty of meaning
Tumid apathy with no concentration
Men and bits of paper, whirled by the cold wind
That blows before and after time,
Wind in and out of unwholesome lungs
Time before and time after.
Eructation of unhealthy souls
Into the faded air, the torpid
Driven on the wind that sweeps the gloomy hills of London,
Hampstead and Clerkenwell, Campden and Putney,
Highgate, Primrose and Ludgate. Not here
Not here the darkness, in this twittering world.
Descend lower, descend only
Into the world of perpetual solitude,
World not world, but that which is not world,
Internal darkness, deprivation
And destitution of all property,
Desiccation of the world of sense,
Evacuation of the world of fancy,
Inoperancy of the world of spirit;
This is the one way, and the other
Is the same, not in movement
But abstention from movement; while the world moves
In appetency, on its metalled ways
Of time past and time future.
IV
Time and the bell have buried the day,
The black cloud carries the sun away.
Will the sunflower turn to us, will the clematis
Stray down, bend to us; tendril and spray
Clutch and cling?
Chill
Fingers of yew be curled
Down on us? After the kingfisher's wing
Has answered light to light, and is silent, the light is still
At the still point of the turning world.
V
Words move, music moves
Only in time; but that which is only living
Can only die. Words, after speech, reach
Into the silence. Only by the form, the pattern,
Can words or music reach
The stillness, as a Chinese jar still
Moves perpetually in its stillness.
Not the stillness of the violin, while the note lasts,
Not that only, but the co-existence,
Or say that the end precedes the beginning,
And the end and the beginning were always there
Before the beginning and after the end.
And all is always now. Words strain,
Crack and sometimes break, under the burden,
Under the tension, slip, slide, perish,
Decay with imprecision, will not stay in place,
Will not stay still. Shrieking voices
Scolding, mocking, or merely chattering,
Always assail them. The Word in the desert
Is most attacked by voices of temptation,
The crying shadow in the funeral dance,
The loud lament of the disconsolate chimera.
The detail of the pattern is movement,
As in the figure of the ten stairs.
Desire itself is movement
Not in itself desirable;
Love is itself unmoving,
Only the cause and end of movement,
Timeless, and undesiring
Except in the aspect of time
Caught in the form of limitation
Between un-being and being.
Sudden in a shaft of sunlight
Even while the dust moves
There rises the hidden laughter
Of children in the foliage
Quick now, here, now, always—
Ridiculous the waste sad time
Stretching before and after.",,,,,,,,,,,,,,
Stony Grey Soil by Patrick Kavanagh,"O stony grey soil of Monaghan
The laugh from my love you thieved;
You took the gay child of my passion
And gave me your clod-conceived.

You clogged the feet of my boyhood
And I believed that my stumble
Had the poise and stride of Apollo
And his voice my thick tongued mumble.

You told me the plough was immortal!
O green-life conquering plough!
The mandril stained, your coulter blunted
In the smooth lea-field of my brow.

You sang on steaming dunghills
A song of cowards' brood,
You perfumed my clothes with weasel itch,
You fed me on swinish food

You flung a ditch on my vision
Of beauty, love and truth.
O stony grey soil of Monaghan
You burgled my bank of youth!

Lost the long hours of pleasure
All the women that love young men.
O can I stilll stroke the monster's back
Or write with unpoisoned pen.

His name in these lonely verses
Or mention the dark fields where
The first gay flight of my lyric
Got caught in a peasant's prayer.

Mullahinsa, Drummeril, Black Shanco-
Wherever I turn I see
In the stony grey soil of Monaghan
Dead loves that were born for me.",,,,,,,,,,,,,,
